First Characters Name,Second Characters Name,Season,Episode
Saul Goodman,Adam Pinkman,Season 3,Episode 22
Saul Goodman,Diane Pinkman,Season 3,Episode 22
Walter White,Skyler White,Season 3,Episode 22
Walter White,Walt JR,Season 3,Episode 22
Jesse Pinkman,Adam Pinkman,Season 3,Episode 22
Jesse Pinkman,Diane Pinkman,Season 3,Episode 22
Adam Pinkman,Diane Pinkman,Season 3,Episode 22
Adam Pinkman,Diane Pinkman,Season 3,Episode 22
Gustavo Fring,Victor,Season 3,Episode 22
Marco Salamanca,Leonel Salamanca,Season 3,Episode 22
Juan Bolsa,Tortuga,Season 3,Episode 23
Skyler White,Holly White,Season 3,Episode 23
Walter White,Skyler White,Season 3,Episode 23
Walter White,Walt JR,Season 3,Episode 23
Skyler White,Walt JR,Season 3,Episode 23
Skyler White,Policeman #2,Season 3,Episode 23
Walter White,Holly White,Season 3,Episode 23
Jesse Pinkman,Saul Goodman,Season 3,Episode 23
Hank Schrader,Steven Gomez,Season 3,Episode 23
Marco Salamanca,Leonel Salamanca,Season 3,Episode 23
Hector Salamanca,Marco Salamanca,Season 3,Episode 23
Hector Salamanca,Leonel Salamanca,Season 3,Episode 23
Juan Bolsa,Hector Salamanca,Season 3,Episode 23
Juan Bolsa,Marco Salamanca,Season 3,Episode 23
Juan Bolsa,Leonel Salamanca,Season 3,Episode 23
Gustavo Fring,Marco Salamanca,Season 3,Episode 23
Gustavo Fring,Leonel Salamanca,Season 3,Episode 23
Gustavo Fring,Hector Salamanca,Season 3,Episode 23
Gustavo Fring,Juan Bolsa,Season 3,Episode 23
Walter White,Holly White,Season 3,Episode 23
Skyler White,Pamela Orbic,Season 3,Episode 23
Hank Schrader,Steven Gomez,Season 3,Episode 23
Hank Schrader,Steven Gomez,Season 3,Episode 23
Walter White,Skyler White,Season 3,Episode 23
Skyler White,Ted Beneke,Season 3,Episode 23
Walter White,Skyler White,Season 3,Episode 23
Louis Corbett,Walt JR,Season 3,Episode 23
Skyler White,Walt JR,Season 3,Episode 23
Louis Corbett,Walt JR,Season 3,Episode 23
Louis Corbett,Walter White,Season 3,Episode 23
Louis Corbett,Skyler White,Season 3,Episode 23
Jesse Pinkman,Cara,Season 3,Episode 24
Saul Goodman,Mike Ehrmantraut,Season 3,Episode 24
Walter White,Ted Beneke,Season 3,Episode 24
Walter White,Mike Ehrmantraut,Season 3,Episode 24
Walter White,Saul Goodman,Season 3,Episode 24
Walter White,Mike Ehrmantraut,Season 3,Episode 24
Walter White,Carmen Molina,Season 3,Episode 24
Marie Schrader,Hank Schrader,Season 3,Episode 24
Walter White,Jesse Pinkman,Season 3,Episode 24
Skyler White,Ted Beneke,Season 3,Episode 24
Hank Schrader,Steven Gomez,Season 3,Episode 24
Jesse Pinkman,Saul Goodman,Season 3,Episode 24
Gustavo Fring,Mike Ehrmantraut,Season 3,Episode 24
Hank Schrader,Cara,Season 3,Episode 24
Walter White,Skyler White,Season 3,Episode 24
Walter White,Walt JR,Season 3,Episode 24
Skyler White,Walt JR,Season 3,Episode 24
Victor,Jesse Pinkman,Season 3,Episode 24
Hank Schrader,George Merket,Season 3,Episode 24
Walter White,Victor,Season 3,Episode 24
Walter White,Jesse Pinkman,Season 3,Episode 25
Combo,Jesse Pinkman,Season 3,Episode 25
Skinny Pete,Jesse Pinkman,Season 3,Episode 25
Combo,Jesse Pinkman,Season 3,Episode 25
Skyler White,Ted Beneke,Season 3,Episode 25
Skyler White,Walt JR,Season 3,Episode 25
Walter White,Jesse Pinkman,Season 3,Episode 25
Jesse Pinkman,Saul Goodman,Season 3,Episode 25
Hank Schrader,Steven Gomez,Season 3,Episode 25
Hank Schrader,Steven Gomez,Season 3,Episode 25
Marie Schrader,Hank Schrader,Season 3,Episode 25
Gustavo Fring,Walter White,Season 3,Episode 25
Skyler White,Ted Beneke,Season 3,Episode 25
Skyler White,Marie Schrader,Season 3,Episode 25
Holly White,Marie Schrader,Season 3,Episode 25
Gustavo Fring,Walter White,Season 3,Episode 25
Walter White,Skyler White,Season 3,Episode 25
Walter White,Walt JR,Season 3,Episode 25
Skyler White,Walt JR,Season 3,Episode 25
Walter White,Holly White,Season 3,Episode 25
Hank Schrader,Steven Gomez,Season 3,Episode 25
Skyler White,Pamela Orbic,Season 3,Episode 25
Walter White,Jesse Pinkman,Season 3,Episode 25
Walter White,Saul Goodman,Season 3,Episode 25
Jesse Pinkman,Saul Goodman,Season 3,Episode 25
Hank Schrader,Combo's Mother,Season 3,Episode 25
Combo,Combo's Mother,Season 3,Episode 25
Marco Salamanca,Leonel Salamanca,Season 3,Episode 26
Policeman #3,Marco Salamanca,Season 3,Episode 26
Policeman #3,Leonel Salamanca,Season 3,Episode 26
Walter White,Skyler White,Season 3,Episode 26
Marco Salamanca,Leonel Salamanca,Season 3,Episode 26
Gustavo Fring,Marco Salamanca,Season 3,Episode 26
Gustavo Fring,Leonel Salamanca,Season 3,Episode 26
Jesse Pinkman,Badger,Season 3,Episode 26
Jesse Pinkman,Skinny Pete,Season 3,Episode 26
Badger,Skinny Pete,Season 3,Episode 26
Walter White,Walt JR,Season 3,Episode 26
Walter White,Gale Boetticher,Season 3,Episode 26
Marie Schrader,Hank Schrader,Season 3,Episode 26
Walter White,Hank Schrader,Season 3,Episode 26
Walter White,Saul Goodman,Season 3,Episode 26
Walter White,Badger,Season 3,Episode 26
Walter White,Clovis,Season 3,Episode 26
Badger,Clovis,Season 3,Episode 26
Badger,Jesse Pinkman,Season 3,Episode 26
Marco Salamanca,Leonel Salamanca,Season 3,Episode 26
Gustavo Fring,Marco Salamanca,Season 3,Episode 26
Gustavo Fring,Leonel Salamanca,Season 3,Episode 26
Walter White,Old Joe,Season 3,Episode 26
Walter White,Jesse Pinkman,Season 3,Episode 26
Jesse Pinkman,Hank Schrader,Season 3,Episode 26
Hank Schrader,Old Joe,Season 3,Episode 26
Saul Goodman,Francesca,Season 3,Episode 26
Walter White,Jesse Pinkman,Season 3,Episode 26
Marco Salamanca,Leonel Salamanca,Season 3,Episode 26
Gustavo Fring,Marco Salamanca,Season 3,Episode 26
Gustavo Fring,Leonel Salamanca,Season 3,Episode 26
Marco Salamanca,Leonel Salamanca,Season 3,Episode 27
Hector Salamanca,Marco Salamanca,Season 3,Episode 27
Hector Salamanca,Leonel Salamanca,Season 3,Episode 27
Jesse Pinkman,Hank Schrader,Season 3,Episode 27
Hank Schrader,George Merket,Season 3,Episode 27
Walter White,Jesse Pinkman,Season 3,Episode 27
Walter White,Saul Goodman,Season 3,Episode 27
Jesse Pinkman,Saul Goodman,Season 3,Episode 27
Hank Schrader,George Merket,Season 3,Episode 27
Marie Schrader,Hank Schrader,Season 3,Episode 27
Walter White,Skyler White,Season 3,Episode 27
Walter White,Gale Boetticher,Season 3,Episode 27
Marco Salamanca,Leonel Salamanca,Season 3,Episode 27
Arms Dealer,Marco Salamanca,Season 3,Episode 27
Arms Dealer,Leonel Salamanca,Season 3,Episode 27
Walter White,Gale Boetticher,Season 3,Episode 27
Marie Schrader,Hank Schrader,Season 3,Episode 27
Walter White,Jesse Pinkman,Season 3,Episode 27
Hank Schrader,George Merket,Season 3,Episode 27
Marco Salamanca,Leonel Salamanca,Season 3,Episode 27
Hank Schrader,Marco Salamanca,Season 3,Episode 27
Hank Schrader,Leonel Salamanca,Season 3,Episode 27
Jesse Pinkman,Skinny Pete,Season 3,Episode 28
Walter White,Gale Boetticher,Season 3,Episode 28
Walter White,Jesse Pinkman,Season 3,Episode 28
Walter White,Steven Gomez,Season 3,Episode 28
Walter White,Marie Schrader,Season 3,Episode 28
Walter White,Skyler White,Season 3,Episode 28
Walter White,Walt JR,Season 3,Episode 28
Skyler White,Walt JR,Season 3,Episode 28
Skyler White,Marie Schrader,Season 3,Episode 28
Walt JR,Marie Schrader,Season 3,Episode 28
Walter White,George Merket,Season 3,Episode 28
Steven Gomez,George Merket,Season 3,Episode 28
Marie Schrader,George Merket,Season 3,Episode 28
Steven Gomez,Walter White,Season 3,Episode 28
Steven Gomez,Marie Schrader,Season 3,Episode 28
Walter White,Jesse Pinkman,Season 3,Episode 28
Walter White,Marie Schrader,Season 3,Episode 28
Walter White,Skyler White,Season 3,Episode 28
Walter White,Walt JR,Season 3,Episode 28
Skyler White,Walt JR,Season 3,Episode 28
Skyler White,Marie Schrader,Season 3,Episode 28
Walt JR,Marie Schrader,Season 3,Episode 28
Juan Bolsa,Gustavo Fring,Season 3,Episode 28
Walter White,Steven Gomez,Season 3,Episode 28
Walter White,Leonel Salamanca,Season 3,Episode 28
Jesse Pinkman,Victor,Season 3,Episode 28
Walter White,Jesse Pinkman,Season 3,Episode 28
Walter White,Marie Schrader,Season 3,Episode 28
Walter White,Skyler White,Season 3,Episode 28
Walter White,Walt JR,Season 3,Episode 28
Skyler White,Walt JR,Season 3,Episode 28
Skyler White,Marie Schrader,Season 3,Episode 28
Walt JR,Marie Schrader,Season 3,Episode 28
Walter White,Gustavo Fring,Season 3,Episode 28
Walter White,Steven Gomez,Season 3,Episode 28
Walter White,Gustavo Fring,Season 3,Episode 28
Juan Bolsa,Gustavo Fring,Season 3,Episode 28
Walter White,Marie Schrader,Season 3,Episode 28
Walter White,Skyler White,Season 3,Episode 28
Walter White,Walt JR,Season 3,Episode 28
Skyler White,Walt JR,Season 3,Episode 28
Skyler White,Marie Schrader,Season 3,Episode 28
Walt JR,Marie Schrader,Season 3,Episode 28
Walter White,Jesse Pinkman,Season 3,Episode 29
Steven Gomez,Hank Schrader,Season 3,Episode 29
Skyler White,Hank Schrader,Season 3,Episode 29
Marie Schrader,Hank Schrader,Season 3,Episode 29
Steven Gomez,Marie Schrader,Season 3,Episode 29
Steven Gomez,Skyler White,Season 3,Episode 29
Skyler White,Marie Schrader,Season 3,Episode 29
Walt JR,Steven Gomez,Season 3,Episode 29
Walt JR,Skyler White,Season 3,Episode 29
Walt JR,Marie Schrader,Season 3,Episode 29
Walt JR,Hank Schrader,Season 3,Episode 29
Walter White,Hank Schrader,Season 3,Episode 29
Walter White,Marie Schrader,Season 3,Episode 29
Walter White,Skyler White,Season 3,Episode 29
Walt JR,Walter White,Season 3,Episode 29
Steven Gomez,Walter White,Season 3,Episode 29
Walter White,Skyler White,Season 3,Episode 29
Jesse Pinkman,Group Leader,Season 3,Episode 29
Marie Schrader,Hank Schrader,Season 3,Episode 29
Skyler White,Hank Schrader,Season 3,Episode 29
Skyler White,Marie Schrader,Season 3,Episode 29
Skyler White,Doctor #1,Season 3,Episode 29
Marie Schrader,Doctor #1,Season 3,Episode 29
Hank Schrader,Doctor #1,Season 3,Episode 29
Jesse Pinkman,Saul Goodman,Season 3,Episode 29
Walter White,Gustavo Fring,Season 3,Episode 29
Jesse Pinkman,Group Leader,Season 3,Episode 29
Skyler White,Marie Schrader,Season 3,Episode 29
Skyler White,Ted Beneke,Season 3,Episode 29
Marie Schrader,Ted Beneke,Season 3,Episode 29
Jesse Pinkman,Badger,Season 3,Episode 29
Jesse Pinkman,Skinny Pete,Season 3,Episode 29
Badger,Skinny Pete,Season 3,Episode 29
Walter White,Jesse Pinkman,Season 3,Episode 29
Group Leader,Badger,Season 3,Episode 29
Group Leader,Skinny Pete,Season 3,Episode 29
Badger,Skinny Pete,Season 3,Episode 29
Walter White,Skyler White,Season 3,Episode 29
Walter White,Marie Schrader,Season 3,Episode 29
Skyler White,Marie Schrader,Season 3,Episode 29
Walter White,Jesse Pinkman,Season 3,Episode 30
The Fly,Jesse Pinkman,Season 3,Episode 30
Walter White,The Fly,Season 3,Episode 30
Jesse Pinkman,Jane Margolis,Season 3,Episode 31
Skyler White,Hank Schrader,Season 3,Episode 31
Marie Schrader,Hank Schrader,Season 3,Episode 31
Skyler White,Marie Schrader,Season 3,Episode 31
Walt JR,Skyler White,Season 3,Episode 31
Walt JR,Marie Schrader,Season 3,Episode 31
Walt JR,Hank Schrader,Season 3,Episode 31
Walter White,Jesse Pinkman,Season 3,Episode 31
Jesse Pinkman,Andrea Cantillo,Season 3,Episode 31
Jesse Pinkman,Group Leader,Season 3,Episode 31
Andrea Cantillo,Group Leader,Season 3,Episode 31
Jesse Pinkman,Badger,Season 3,Episode 31
Jesse Pinkman,Skinny Pete,Season 3,Episode 31
Badger,Skinny Pete,Season 3,Episode 31
Walter White,Skyler White,Season 3,Episode 31
Walter White,Walt JR,Season 3,Episode 31
Skyler White,Walt JR,Season 3,Episode 31
Walter White,Holly White,Season 3,Episode 31
Walter White,Skyler White,Season 3,Episode 31
Walter White,Saul Goodman,Season 3,Episode 31
Skyler White,Saul Goodman,Season 3,Episode 31
Jesse Pinkman,Andrea Cantillo,Season 3,Episode 31
Brock Cantillo,Andrea Cantillo,Season 3,Episode 31
Andrea Cantillo,Mrs Cantillo,Season 3,Episode 31
Jesse Pinkman,Brock Cantillo,Season 3,Episode 31
Walter White,Skyler White,Season 3,Episode 31
Jesse Pinkman,Badger,Season 3,Episode 31
Jesse Pinkman,Skinny Pete,Season 3,Episode 31
Badger,Skinny Pete,Season 3,Episode 31
Jesse Pinkman,Andrea Cantillo,Season 3,Episode 31
Brock Cantillo,Andrea Cantillo,Season 3,Episode 31
Jesse Pinkman,Brock Cantillo,Season 3,Episode 31
Walter White,Saul Goodman,Season 3,Episode 31
Jesse Pinkman,Andrea Cantillo,Season 3,Episode 31
Marie Schrader,Hank Schrader,Season 3,Episode 31
Walter White,Skyler White,Season 3,Episode 31
Walter White,Jesse Pinkman,Season 3,Episode 31
Gustavo Fring,Walter White,Season 3,Episode 31
Jesse Pinkman,Rival Dealers,Season 3,Episode 31
Jesse Pinkman,Tomas Cantillo,Season 3,Episode 31
Wendy,Rival Dealers,Season 3,Episode 32
Wendy,Tomas Cantillo,Season 3,Episode 32
Walter White,Walt JR,Season 3,Episode 32
Skyler White,Holly White,Season 3,Episode 32
Walter White,Skyler White,Season 3,Episode 32
Walter White,Jesse Pinkman,Season 3,Episode 32
Walt JR,Marie Schrader,Season 3,Episode 32
Walt JR,Hank Schrader,Season 3,Episode 32
Marie Schrader,Hank Schrader,Season 3,Episode 32
Walter White,Saul Goodman,Season 3,Episode 32
Jesse Pinkman,Wendy,Season 3,Episode 32
Walter White,Holly White,Season 3,Episode 32
Mike Ehrmantraut,Walter White,Season 3,Episode 32
Jesse Pinkman,Wendy,Season 3,Episode 32
Jesse Pinkman,Mike Ehrmantraut,Season 3,Episode 32
Mike Ehrmantraut,Walter White,Season 3,Episode 32
Jesse Pinkman,Walter White,Season 3,Episode 32
Gustavo Fring,Mike Ehrmantraut,Season 3,Episode 32
Gustavo Fring,Walter White,Season 3,Episode 32
Jesse Pinkman,Gustavo Fring,Season 3,Episode 32
Jesse Pinkman,Rival Dealers,Season 3,Episode 32
Gustavo Fring,Rival Dealers,Season 3,Episode 32
Marie Schrader,Hank Schrader,Season 3,Episode 32
Jesse Pinkman,Andrea Cantillo,Season 3,Episode 32
Walter White,Skyler White,Season 3,Episode 32
Walter White,Walt JR,Season 3,Episode 32
Skyler White,Walt JR,Season 3,Episode 32
Jesse Pinkman,Walter White,Season 3,Episode 32
Rival Dealers,Walter White,Season 3,Episode 32
Jesse Pinkman,Rival Dealers,Season 3,Episode 32
Walter White,Skyler White,Season 3,Episode 33
Gustavo Fring,Walter White,Season 3,Episode 33
Mike Ehrmantraut,Walter White,Season 3,Episode 33
Mike Ehrmantraut,Gustavo Fring,Season 3,Episode 33
Walter White,Gale Boetticher,Season 3,Episode 33
Mike Ehrmantraut,Kaylee Erhmantraut,Season 3,Episode 33
Mike Ehrmantraut,Duane Chow,Season 3,Episode 33
Walter White,Gale Boetticher,Season 3,Episode 33
Gustavo Fring,Gale Boetticher,Season 3,Episode 33
Walter White,Gale Boetticher,Season 3,Episode 33
Saul Goodman,Mike Ehrmantraut,Season 3,Episode 33
Walter White,Saul Goodman,Season 3,Episode 33
Walter White,Jesse Pinkman,Season 3,Episode 33
Walter White,Holly White,Season 3,Episode 33
Walter White,Victor,Season 3,Episode 33
Mike Ehrmantraut,Walter White,Season 3,Episode 33
Mike Ehrmantraut,Victor,Season 3,Episode 33
Walter White,Jesse Pinkman,Season 3,Episode 33
Jesse Pinkman,Gale Boetticher,Season 3,Episode 33
Victor,Gale Boetticher,Season 4,Episode 34
Gustavo Fring,Gale Boetticher,Season 4,Episode 34
Victor,Gustavo Fring,Season 4,Episode 34
Victor,Jesse Pinkman,Season 4,Episode 34
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 34
Mike Ehrmantraut,Walter White,Season 4,Episode 34
Jesse Pinkman,Walter White,Season 4,Episode 34
Victor,Mike Ehrmantraut,Season 4,Episode 34
Victor,Walter White,Season 4,Episode 34
Skyler White,Marie Schrader,Season 4,Episode 34
Huell Babineaux,Francesca,Season 4,Episode 34
Francesca,Saul Goodman,Season 4,Episode 34
Huell Babineaux,Saul Goodman,Season 4,Episode 34
Saul Goodman,Skyler White,Season 4,Episode 34
Skyler White,Holly White,Season 4,Episode 34
Marie Schrader,Hank Schrader,Season 4,Episode 34
Victor,Jesse Pinkman,Season 4,Episode 34
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 34
Mike Ehrmantraut,Walter White,Season 4,Episode 34
Jesse Pinkman,Walter White,Season 4,Episode 34
Victor,Mike Ehrmantraut,Season 4,Episode 34
Victor,Walter White,Season 4,Episode 34
Walter White,Gustavo Fring,Season 4,Episode 34
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 34
Jesse Pinkman,Gustavo Fring,Season 4,Episode 34
Victor,Gustavo Fring,Season 4,Episode 34
Walter White,Jesse Pinkman,Season 4,Episode 34
Walter White,Skyler White,Season 4,Episode 34
Walter White,Lawson,Season 4,Episode 35
Jesse Pinkman,Badger,Season 4,Episode 35
Jesse Pinkman,Skinny Pete,Season 4,Episode 35
Badger,Skinny Pete,Season 4,Episode 35
Marie Schrader,Hank Schrader,Season 4,Episode 35
Walter White,Skyler White,Season 4,Episode 35
Jesse Pinkman,Badger,Season 4,Episode 35
Jesse Pinkman,Skinny Pete,Season 4,Episode 35
Badger,Skinny Pete,Season 4,Episode 35
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 35
Mike Ehrmantraut,Walter White,Season 4,Episode 35
Jesse Pinkman,Walter White,Season 4,Episode 35
Skyler White,Holly White,Season 4,Episode 35
Hank Schrader,Chuck,Season 4,Episode 35
Marie Schrader,Chuck,Season 4,Episode 35
Hank Schrader,Marie Schrader,Season 4,Episode 35
Jesse Pinkman,Badger,Season 4,Episode 35
Jesse Pinkman,Skinny Pete,Season 4,Episode 35
Badger,Skinny Pete,Season 4,Episode 35
Jesse Pinkman,Andrea Cantillo,Season 4,Episode 35
Brock Cantillo,Andrea Cantillo,Season 4,Episode 35
Jesse Pinkman,Brock Cantillo,Season 4,Episode 35
Marie Schrader,Hank Schrader,Season 4,Episode 35
Skyler White,Bogdan,Season 4,Episode 35
Mike Ehrmantraut,Walter White,Season 4,Episode 35
Jesse Pinkman,Badger,Season 4,Episode 35
Jesse Pinkman,Skinny Pete,Season 4,Episode 35
Badger,Skinny Pete,Season 4,Episode 35
Walter White,Skyler White,Season 4,Episode 36
Marie Schrader,Hank Schrader,Season 4,Episode 36
Walter White,Jesse Pinkman,Season 4,Episode 36
Walter White,Skyler White,Season 4,Episode 36
Walter White,Saul Goodman,Season 4,Episode 36
Skyler White,Saul Goodman,Season 4,Episode 36
Marie Schrader,Stephanie Doswell,Season 4,Episode 36
Marie Schrader,Stephanie Doswell,Season 4,Episode 36
Marie Schrader,Tim Roberts,Season 4,Episode 36
Patrick Kuby,Bogdan,Season 4,Episode 36
Patrick Kuby,Skyler White,Season 4,Episode 36
Marie Schrader,Hank Schrader,Season 4,Episode 36
Tim Roberts,Hank Schrader,Season 4,Episode 36
Marie Schrader,Tim Roberts,Season 4,Episode 36
Walter White,Holly White,Season 4,Episode 36
Walter White,Skyler White,Season 4,Episode 36
Walter White,Skyler White,Season 4,Episode 36
Walter White,Skyler White,Season 4,Episode 37
Walter White,Skyler White,Season 4,Episode 37
Walter White,Hank Schrader,Season 4,Episode 37
Skyler White,Hank Schrader,Season 4,Episode 37
Marie Schrader,Hank Schrader,Season 4,Episode 37
Walter White,Marie Schrader,Season 4,Episode 37
Walter White,Skyler White,Season 4,Episode 37
Skyler White,Marie Schrader,Season 4,Episode 37
Walt JR,Walter White,Season 4,Episode 37
Walt JR,Skyler White,Season 4,Episode 37
Walt JR,Marie Schrader,Season 4,Episode 37
Walt JR,Hank Schrader,Season 4,Episode 37
Walter White,Jesse Pinkman,Season 4,Episode 37
Walter White,Saul Goodman,Season 4,Episode 37
Walter White,Jesse Pinkman,Season 4,Episode 37
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 37
Gustavo Fring,Mike Ehrmantraut,Season 4,Episode 37
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 38
Mike Ehrmantraut,Walter White,Season 4,Episode 38
Jesse Pinkman,Walter White,Season 4,Episode 38
Hank Schrader,Tim Roberts,Season 4,Episode 38
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 38
Walter White,Skyler White,Season 4,Episode 38
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 38
Walter White,Walt JR,Season 4,Episode 38
Walter White,Jesse Pinkman,Season 4,Episode 38
Gustavo Fring,Mike Ehrmantraut,Season 4,Episode 38
Walter White,Hank Schrader,Season 4,Episode 38
Skyler White,Hank Schrader,Season 4,Episode 38
Marie Schrader,Hank Schrader,Season 4,Episode 38
Walter White,Marie Schrader,Season 4,Episode 38
Walter White,Skyler White,Season 4,Episode 38
Skyler White,Marie Schrader,Season 4,Episode 38
Walt JR,Walter White,Season 4,Episode 38
Walt JR,Skyler White,Season 4,Episode 38
Walt JR,Marie Schrader,Season 4,Episode 38
Walt JR,Hank Schrader,Season 4,Episode 38
Marie Schrader,Hank Schrader,Season 4,Episode 38
Walter White,Skyler White,Season 4,Episode 39
Walter White,Bogdan,Season 4,Episode 39
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 39
Walter White,Walt JR,Season 4,Episode 39
Walter White,Jesse Pinkman,Season 4,Episode 39
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 39
Walter White,Tyrus Kitt,Season 4,Episode 39
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 39
Skyler White,Walt JR,Season 4,Episode 39
Walter White,Skyler White,Season 4,Episode 39
Walter White,Holly White,Season 4,Episode 39
Walter White,Skyler White,Season 4,Episode 40
Walter White,Saul Goodman,Season 4,Episode 40
Walter White,Jesse Pinkman,Season 4,Episode 40
Skyler White,Marie Schrader,Season 4,Episode 40
Walter White,Skyler White,Season 4,Episode 40
Walter White,Jesse Pinkman,Season 4,Episode 40
Walt JR,Hank Schrader,Season 4,Episode 40
Gustavo Fring,Hank Schrader,Season 4,Episode 40
Walt JR,Gustavo Fring,Season 4,Episode 40
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 40
Gustavo Fring,Mike Ehrmantraut,Season 4,Episode 40
Jesse Pinkman,Gustavo Fring,Season 4,Episode 40
Gaff,Gustavo Fring,Season 4,Episode 40
Jesse Pinkman,Group Leader,Season 4,Episode 40
Walter White,Jesse Pinkman,Season 4,Episode 40
Hank Schrader,Steven Gomez,Season 4,Episode 40
Marie Schrader,Steven Gomez,Season 4,Episode 40
Hank Schrader,Marie Schrader,Season 4,Episode 40
Hank Schrader,George Merkert,Season 4,Episode 40
George Merkert,Steven Gomez,Season 4,Episode 40
Gustavo Fring,Walter White,Season 4,Episode 41
Gustavo Fring,Hector Salamanca,Season 4,Episode 41
Walter White,Gary,Season 4,Episode 41
Steven Gomez,George Merkert,Season 4,Episode 41
Steven Gomez,Tim Roberts,Season 4,Episode 41
Steven Gomez,Hank Schrader,Season 4,Episode 41
Steven Gomez,Gustavo Fring,Season 4,Episode 41
Hank Schrader,George Merkert,Season 4,Episode 41
Hank Schrader,Tim Roberts,Season 4,Episode 41
Hank Schrader,Gustavo Fring,Season 4,Episode 41
Gustavo Fring,George Merkert,Season 4,Episode 41
Gustavo Fring,Tim Roberts,Season 4,Episode 41
George Merkert,Tim Roberts,Season 4,Episode 41
Saul Goodman,Andrea Cantillo,Season 4,Episode 41
Saul Goodman,Brock Cantillo,Season 4,Episode 41
Andrea Cantillo,Brock Cantillo,Season 4,Episode 41
Jesse Pinkman,Saul Goodman,Season 4,Episode 41
Huell Babineaux,Saul Goodman,Season 4,Episode 41
Walter White,Hank Schrader,Season 4,Episode 41
Skyler White,Hank Schrader,Season 4,Episode 41
Marie Schrader,Hank Schrader,Season 4,Episode 41
Walter White,Marie Schrader,Season 4,Episode 41
Walter White,Skyler White,Season 4,Episode 41
Skyler White,Marie Schrader,Season 4,Episode 41
Walt JR,Walter White,Season 4,Episode 41
Walt JR,Skyler White,Season 4,Episode 41
Walt JR,Marie Schrader,Season 4,Episode 41
Walt JR,Hank Schrader,Season 4,Episode 41
Walter White,Hank Schrader,Season 4,Episode 41
Walter White,Jesse Pinkman,Season 4,Episode 41
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 41
Gustavo Fring,Max Arciniega,Season 4,Episode 41
Gustavo Fring,Don Eladio,Season 4,Episode 41
Gustavo Fring,Hector Salamanca,Season 4,Episode 41
Hector Salamanca,Don Eladio,Season 4,Episode 41
Hector Salamanca,Max Arciniega,Season 4,Episode 41
Max Arciniega,Don Eladio,Season 4,Episode 41
Gustavo Fring,Juan Bolsa,Season 4,Episode 41
Max Arciniega,Juan Bolsa,Season 4,Episode 41
Don Eladio,Juan Bolsa,Season 4,Episode 41
Hector Salamanca,Juan Bolsa,Season 4,Episode 41
Gustavo Fring,Hector Salamanca,Season 4,Episode 41
Marie Schrader,Hank Schrader,Season 4,Episode 42
Walter White,Marie Schrader,Season 4,Episode 42
Walter White,Hank Schrader,Season 4,Episode 42
Walter White,Tyrus Kitt,Season 4,Episode 42
Walter White,Jesse Pinkman,Season 4,Episode 42
Walter White,Skyler White,Season 4,Episode 42
Walter White,Hank Schrader,Season 4,Episode 42
Skyler White,Ted Beneke,Season 4,Episode 42
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 42
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 42
Mike Ehrmantraut,Walter White,Season 4,Episode 42
Jesse Pinkman,Walter White,Season 4,Episode 42
Skyler White,Ted Beneke,Season 4,Episode 42
Jesse Pinkman,Gustavo Fring,Season 4,Episode 42
Jesse Pinkman,Tyrus Kitt,Season 4,Episode 42
Walter White,Jesse Pinkman,Season 4,Episode 42
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 43
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 43
Jesse Pinkman,Gustavo Fring,Season 4,Episode 43
Skyler White,Walt JR,Season 4,Episode 43
Saul Goodman,Ted Beneke,Season 4,Episode 43
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 43
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 43
Jesse Pinkman,Gustavo Fring,Season 4,Episode 43
Jesse Pinkman,Benicio Fuentes,Season 4,Episode 43
Mike Ehrmantraut,Benicio Fuentes,Season 4,Episode 43
Gustavo Fring,Benicio Fuentes,Season 4,Episode 43
Walter White,Walt JR,Season 4,Episode 43
Jesse Pinkman,Mike Ehrmantraut,Season 4,Episode 43
Mike Ehrmantraut,Gustavo Fring,Season 4,Episode 43
Jesse Pinkman,Gustavo Fring,Season 4,Episode 43
Jesse Pinkman,Benicio Fuentes,Season 4,Episode 43
Mike Ehrmantraut,Benicio Fuentes,Season 4,Episode 43
Gustavo Fring,Benicio Fuentes,Season 4,Episode 43
Saul Goodman,Skyler White,Season 4,Episode 43
Walter White,Walt JR,Season 4,Episode 43
Walter White,Tyrus Kitt,Season 4,Episode 43
